,rank,Youtuber,subscribers,video views,video count,category,started
290,291,Tekashi 6ix9ine,"20,400,000","5,325,195,339",25,People & Blogs,2018
291,292,BuzzFeedVideo,"20,300,000","17,755,714,250","7,347",People & Blogs,2011
292,293,Brave Wilderness,"20,300,000","4,606,459,332",718,Pets & Animals,2014
296,297,LazarBeam,"20,100,000","8,389,982,773","1,258",Gaming,2015
298,299,AuthenticGames,"20,100,000","8,852,635,760","4,638",Gaming,2011
301,302,Rotana,"20,000,000","16,480,938,259","8,109",Music,2012
302,303,Ultra Movie Parlour,"20,000,000","4,930,920,530","1,302",Movies,2011
303,304,SlivkiShow,"20,000,000","4,345,234,891",426,Entertainment,2012
304,305,HaerteTest,"20,000,000","3,027,361,293","1,160",Science & Technology,2011
305,306,5-Minute Crafts PLAY,"19,900,000","5,616,881,420","4,440",Howto & Style,2017
309,310,Lyrical Lemonade,"19,800,000","9,563,010,656",408,Entertainment,2013
311,312,Tlnovelas,"19,700,000","12,776,498,114","29,574",News & Politics,2013
312,313,Pentatonix,"19,700,000","5,694,327,707",235,Music,2011
313,314,Totoy kids - PortuguÃªs,"19,700,000","3,826,474,945",174,Film & Animation,2014
314,315,LankyBox,"19,600,000","25,787,517,689","5,545",Comedy,2016
315,316,toyorbabytv,"19,600,000","13,978,892,435","1,057",Music,2012
319,320,Noor Stars,"19,500,000","2,545,886,796",627,Comedy,2014
322,323,Got Talent Global,"19,400,000","7,383,775,138","2,454",Entertainment,2013
323,324,Dr. Vivek Bindra: Motivational Speaker,"19,400,000","1,478,660,028",683,Education,2013
326,327,Troom Troom Es,"19,200,000","7,139,476,227","2,591",People & Blogs,2016
328,329,Kinder Spielzeug Kanal,"19,200,000","9,413,508,600",699,Entertainment,2015
329,330,Infinite,"19,200,000","4,383,533,818","1,517",Entertainment,2014
332,333,Robin Hood Gamer,"19,100,000","9,328,209,625","3,750",Entertainment,2014
333,334,â˜… Kids Roma Show,"19,100,000","6,410,853,410",589,People & Blogs,2015
334,335,Fatos Desconhecidos,"19,100,000","3,252,868,093","5,240",Entertainment,2013
335,336,JukiLop,"19,100,000","1,540,403,509",85,People & Blogs,2017
336,337,Crafty Panda,"19,000,000","5,672,497,949",613,People & Blogs,2017
